# N=80 REP=500 dy=0.01
# BRG
# esConnex p
0 0
0.025 0
0.03125 0
0.034375 0.008
0.0375 0.014
0.0390625 0.022
0.0398438 0.022
0.040625 0.044
0.0414063 0.052
0.0421875 0.06
0.0429688 0.094
0.04375 0.074
0.0445313 0.126
0.0453125 0.148
0.0460938 0.142
0.046875 0.132
0.0476562 0.172
0.0484375 0.216
0.0492188 0.204
0.05 0.264
0.0507812 0.29
0.0515625 0.298
0.0523438 0.328
0.053125 0.4
0.0546875 0.4
0.0554687 0.378
0.05625 0.452
0.0570313 0.48
0.0578125 0.484
0.0585938 0.536
0.059375 0.52
0.0601562 0.524
0.0609375 0.564
0.0617188 0.584
0.0625 0.576
0.0632812 0.654
0.0640625 0.63
0.0648438 0.682
0.065625 0.696
0.0664062 0.71
0.0671875 0.712
0.0679688 0.708
0.06875 0.764
0.0703125 0.772
0.0710938 0.788
0.071875 0.806
0.0726563 0.8
0.0734375 0.786
0.0742188 0.85
0.075 0.852
0.0757813 0.85
0.0765625 0.864
0.0773438 0.832
0.078125 0.874
0.0789063 0.902
0.0796875 0.92
0.08125 0.916
0.0828125 0.91
0.0835938 0.922
0.084375 0.93
0.0851563 0.946
0.0859375 0.964
0.0867188 0.936
0.0875 0.954
0.09375 0.948
0.0945312 0.976
0.0953125 0.972
0.0960938 0.98
0.096875 0.986
0.0984375 0.986
0.0992188 0.978
0.1 0.976
0.103125 0.984
0.10625 0.986
0.109375 0.984
0.110937 0.99
0.111719 0.998
0.1125 1
0.125 1
0.15 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
