# N=10 REP=500 dy=0.01
# BRG
# eulerianCycle p
0 1
0.00078125 0.962
0.0015625 0.944
0.00234375 0.926
0.003125 0.866
0.00390625 0.888
0.0046875 0.78
0.00546875 0.794
0.00625 0.76
0.00703125 0.75
0.0078125 0.716
0.009375 0.71
0.0101563 0.628
0.0109375 0.632
0.0117188 0.618
0.0125 0.538
0.0132813 0.566
0.0140625 0.49
0.015625 0.484
0.0164063 0.454
0.0171875 0.424
0.01875 0.416
0.0195313 0.428
0.0203125 0.38
0.021875 0.388
0.0226563 0.334
0.0234375 0.36
0.0242188 0.342
0.025 0.274
0.03125 0.28
0.0320312 0.222
0.0328125 0.224
0.0335938 0.244
0.034375 0.242
0.0351562 0.212
0.0359375 0.152
0.0367188 0.2
0.0375 0.172
0.040625 0.168
0.0421875 0.164
0.0429688 0.108
0.04375 0.126
0.05 0.118
0.053125 0.108
0.0539063 0.076
0.0546875 0.064
0.0554687 0.072
0.05625 0.09
0.0570313 0.09
0.0578125 0.078
0.0585938 0.1
0.059375 0.062
0.0625 0.054
0.065625 0.062
0.0664062 0.042
0.0671875 0.04
0.06875 0.042
0.075 0.038
0.078125 0.032
0.0796875 0.026
0.0804688 0.018
0.08125 0.014
0.084375 0.016
0.0875 0.026
0.1 0.02
0.10625 0.01
0.1125 0.006
0.125 0.008
0.15 0.006
0.2 0
0.3 0.002
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0.002
0.9 0
1 0
