# N=100 REP=500 dy=0.01
# GRG
# esConnex p
0 0
0.1 0
0.125 0.004
0.128125 0.01
0.13125 0.016
0.132031 0.03
0.132812 0.028
0.133594 0.034
0.134375 0.048
0.135156 0.044
0.135938 0.062
0.136719 0.064
0.1375 0.088
0.138281 0.086
0.139063 0.114
0.140625 0.11
0.141406 0.128
0.142188 0.138
0.142969 0.148
0.14375 0.178
0.144531 0.18
0.145313 0.21
0.146094 0.176
0.146875 0.24
0.147656 0.238
0.148438 0.268
0.149219 0.288
0.15 0.308
0.150781 0.33
0.151563 0.322
0.152344 0.33
0.153125 0.392
0.153906 0.366
0.154688 0.406
0.155469 0.396
0.15625 0.42
0.157031 0.47
0.157813 0.492
0.158594 0.492
0.159375 0.51
0.160156 0.512
0.160938 0.534
0.161719 0.582
0.1625 0.568
0.164063 0.566
0.164844 0.58
0.165625 0.604
0.166406 0.626
0.167188 0.634
0.167969 0.652
0.16875 0.66
0.169531 0.668
0.170313 0.69
0.171094 0.702
0.171875 0.74
0.173438 0.742
0.174219 0.73
0.175 0.72
0.175781 0.756
0.176563 0.752
0.177344 0.812
0.178125 0.798
0.178906 0.76
0.179688 0.744
0.180469 0.802
0.18125 0.818
0.182813 0.826
0.183594 0.844
0.184375 0.864
0.1875 0.858
0.188281 0.874
0.189062 0.876
0.189844 0.888
0.190625 0.888
0.191406 0.884
0.192188 0.908
0.19375 0.916
0.2 0.92
0.203125 0.924
0.203906 0.942
0.204688 0.952
0.205469 0.928
0.20625 0.942
0.209375 0.936
0.210938 0.94
0.211719 0.952
0.2125 0.956
0.215625 0.958
0.216406 0.984
0.217188 0.97
0.21875 0.976
0.221875 0.978
0.223438 0.98
0.224219 0.98
0.225 0.992
0.25 0.992
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
