# N=10 REP=500 dy=0.01
# GRG
# eulerianCycle p
0 1
0.00625 0.996
0.0078125 0.998
0.00859375 0.998
0.009375 0.984
0.0125 0.978
0.015625 0.97
0.0164063 0.95
0.0171875 0.95
0.01875 0.942
0.021875 0.932
0.0234375 0.93
0.0242188 0.908
0.025 0.912
0.0265625 0.904
0.0273438 0.914
0.028125 0.892
0.0289063 0.872
0.0296875 0.87
0.03125 0.874
0.0320312 0.864
0.0328125 0.856
0.034375 0.856
0.0351562 0.828
0.0359375 0.868
0.0367188 0.816
0.0375 0.796
0.0390625 0.798
0.0398438 0.834
0.040625 0.824
0.0414063 0.812
0.0421875 0.782
0.0429688 0.784
0.04375 0.76
0.0445313 0.78
0.0453125 0.746
0.0460938 0.734
0.046875 0.774
0.0476562 0.732
0.0484375 0.746
0.0492188 0.732
0.05 0.718
0.0507812 0.732
0.0515625 0.706
0.0523438 0.704
0.053125 0.682
0.0539063 0.702
0.0546875 0.65
0.0554687 0.684
0.05625 0.63
0.059375 0.628
0.0601562 0.606
0.0609375 0.6
0.0617188 0.588
0.0625 0.548
0.0632812 0.61
0.0640625 0.62
0.0648438 0.564
0.065625 0.526
0.0664062 0.558
0.0671875 0.574
0.0679688 0.522
0.06875 0.502
0.075 0.504
0.0757813 0.458
0.0765625 0.46
0.0773438 0.416
0.078125 0.438
0.0789063 0.432
0.0796875 0.424
0.0804688 0.436
0.08125 0.45
0.0820313 0.406
0.0828125 0.434
0.0835938 0.406
0.084375 0.366
0.0851563 0.37
0.0859375 0.436
0.0867188 0.378
0.0875 0.378
0.090625 0.382
0.0914063 0.37
0.0921875 0.318
0.0929688 0.306
0.09375 0.33
0.096875 0.324
0.0976562 0.29
0.0984375 0.276
0.1 0.268
0.100781 0.254
0.101562 0.29
0.103125 0.284
0.103906 0.234
0.104688 0.258
0.10625 0.258
0.107031 0.208
0.107813 0.204
0.108594 0.226
0.109375 0.222
0.110156 0.23
0.110937 0.2
0.111719 0.23
0.1125 0.178
0.115625 0.174
0.116406 0.186
0.117188 0.162
0.117969 0.202
0.11875 0.196
0.120312 0.188
0.121094 0.166
0.121875 0.162
0.122656 0.176
0.123438 0.148
0.124219 0.168
0.125 0.132
0.13125 0.126
0.132031 0.124
0.132812 0.11
0.133594 0.086
0.134375 0.098
0.135156 0.108
0.135938 0.088
0.136719 0.084
0.1375 0.114
0.138281 0.1
0.139063 0.092
0.140625 0.084
0.141406 0.104
0.142188 0.068
0.142969 0.1
0.14375 0.104
0.144531 0.11
0.145313 0.06
0.146094 0.08
0.146875 0.074
0.15 0.072
0.153125 0.062
0.15625 0.06
0.1625 0.058
0.163281 0.044
0.164063 0.038
0.164844 0.042
0.165625 0.048
0.16875 0.044
0.170313 0.04
0.171094 0.042
0.171875 0.03
0.175 0.024
0.2 0.016
0.25 0.006
0.3 0.004
0.4 0
0.5 0.01
0.6 0.002
0.7 0.002
0.8 0
0.9 0
1 0
