# N=10 REP=500 dy=0.01
# GRG
# eulerianPath p
0 0
0.00625 0.008
0.0125 0.016
0.0140625 0.026
0.015625 0.034
0.01875 0.04
0.0195313 0.056
0.0203125 0.052
0.021875 0.052
0.0226563 0.08
0.0234375 0.072
0.0242188 0.082
0.025 0.09
0.0257813 0.08
0.0265625 0.074
0.0273438 0.084
0.028125 0.104
0.0296875 0.104
0.0304687 0.13
0.03125 0.13
0.0375 0.134
0.0382813 0.168
0.0390625 0.154
0.0398438 0.186
0.040625 0.202
0.0414063 0.216
0.0421875 0.182
0.0429688 0.23
0.04375 0.226
0.0445313 0.206
0.0453125 0.194
0.0460938 0.234
0.046875 0.246
0.0476562 0.232
0.0484375 0.232
0.0492188 0.242
0.05 0.282
0.053125 0.29
0.05625 0.294
0.0578125 0.296
0.0585938 0.35
0.059375 0.318
0.0609375 0.322
0.0617188 0.36
0.0625 0.338
0.0640625 0.34
0.0648438 0.348
0.065625 0.364
0.0664062 0.412
0.0671875 0.34
0.0679688 0.384
0.06875 0.402
0.0695313 0.384
0.0703125 0.352
0.0710938 0.408
0.071875 0.382
0.0726563 0.382
0.0734375 0.41
0.075 0.416
0.08125 0.412
0.0820313 0.43
0.0828125 0.48
0.0835938 0.44
0.084375 0.422
0.0851563 0.432
0.0859375 0.476
0.0875 0.468
0.09375 0.478
0.0945312 0.45
0.0953125 0.43
0.096875 0.43
0.0976562 0.422
0.0984375 0.47
0.0992188 0.44
0.1 0.398
0.100781 0.44
0.101562 0.454
0.102344 0.46
0.103125 0.426
0.103906 0.438
0.104688 0.404
0.105469 0.44
0.10625 0.454
0.109375 0.454
0.110156 0.424
0.110937 0.42
0.1125 0.42
0.113281 0.404
0.114063 0.446
0.114844 0.446
0.115625 0.384
0.117188 0.378
0.11875 0.37
0.121875 0.368
0.122656 0.408
0.123438 0.42
0.124219 0.372
0.125 0.41
0.125781 0.334
0.126562 0.38
0.128125 0.374
0.129688 0.382
0.130469 0.316
0.13125 0.338
0.132031 0.332
0.132812 0.358
0.133594 0.356
0.134375 0.382
0.135156 0.358
0.135938 0.318
0.136719 0.334
0.1375 0.354
0.138281 0.34
0.139063 0.312
0.140625 0.304
0.141406 0.288
0.142188 0.276
0.142969 0.31
0.14375 0.318
0.144531 0.266
0.145313 0.276
0.146875 0.268
0.148438 0.27
0.149219 0.268
0.15 0.254
0.153125 0.248
0.153906 0.276
0.154688 0.234
0.155469 0.268
0.15625 0.21
0.1625 0.202
0.16875 0.2
0.171875 0.194
0.172656 0.192
0.173438 0.168
0.174219 0.178
0.175 0.154
0.175781 0.164
0.176563 0.168
0.177344 0.176
0.178125 0.106
0.178906 0.146
0.179688 0.144
0.18125 0.14
0.182813 0.144
0.183594 0.14
0.184375 0.088
0.185156 0.134
0.185938 0.152
0.186719 0.102
0.1875 0.102
0.188281 0.12
0.189062 0.132
0.189844 0.118
0.190625 0.118
0.191406 0.106
0.192188 0.132
0.19375 0.138
0.194531 0.114
0.195312 0.12
0.196875 0.112
0.2 0.114
0.200781 0.114
0.201563 0.086
0.202344 0.09
0.203125 0.102
0.204688 0.094
0.20625 0.086
0.2125 0.094
0.21875 0.084
0.220312 0.078
0.221094 0.068
0.221875 0.052
0.225 0.052
0.25 0.044
0.3 0.048
0.325 0.046
0.3375 0.042
0.34375 0.034
0.345313 0.04
0.346094 0.034
0.346875 0.058
0.35 0.058
0.4 0.062
0.425 0.072
0.4375 0.07
0.44375 0.076
0.446875 0.074
0.447656 0.12
0.448438 0.092
0.45 0.092
0.475 0.082
0.48125 0.074
0.484375 0.066
0.485156 0.08
0.485938 0.112
0.4875 0.112
0.5 0.104
0.6 0.108
0.60625 0.114
0.607031 0.106
0.607812 0.094
0.609375 0.1
0.610156 0.074
0.610938 0.084
0.6125 0.086
0.625 0.084
0.65 0.092
0.65625 0.094
0.657031 0.08
0.657812 0.082
0.658594 0.084
0.659375 0.07
0.6625 0.072
0.675 0.068
0.7 0.068
0.7125 0.064
0.725 0.058
0.75 0.05
0.7625 0.06
0.765625 0.056
0.766406 0.034
0.767188 0.046
0.767969 0.058
0.76875 0.034
0.775 0.026
0.8 0.032
0.825 0.026
0.8375 0.018
0.85 0.01
0.9 0.004
1 0
