# N=50 REP=500 dy=0.1
# p-connected p
0 50
0.00078125 49.022
0.0015625 48.056
0.00234375 47.148
0.003125 46.088
0.00390625 45.18
0.0046875 44.27
0.00546875 43.342
0.00625 42.328
0.00703125 41.586
0.0078125 40.538
0.00859375 39.53
0.009375 38.774
0.0101563 37.6
0.0109375 36.85
0.0117188 35.87
0.0125 34.81
0.0132813 34.126
0.0140625 32.62
0.0148437 31.916
0.015625 30.894
0.0164063 30.346
0.0171875 28.972
0.0179688 28.372
0.01875 27.28
0.0195313 26.542
0.0203125 25.814
0.0210938 24.64
0.021875 23.532
0.0226563 23.116
0.0234375 22.424
0.0242188 21.652
0.025 20.616
0.0257813 19.634
0.0265625 19.098
0.0273438 17.926
0.028125 17.336
0.0289063 16.66
0.0296875 16.17
0.0304687 15.224
0.03125 14.94
0.0320312 13.848
0.0328125 13.766
0.0335938 13.278
0.034375 12.466
0.0351562 12.038
0.0359375 11.676
0.0367188 11.248
0.0375 10.784
0.0382813 10.444
0.0390625 10.006
0.0398438 9.55
0.040625 9.208
0.0414063 8.796
0.0421875 8.212
0.0429688 7.946
0.04375 7.844
0.0445313 7.326
0.0453125 6.944
0.0460938 6.496
0.046875 6.294
0.0476562 6.14
0.0484375 6.184
0.0492188 6.07
0.05 5.624
0.0507812 5.548
0.0515625 5.336
0.0523438 4.826
0.053125 4.972
0.0539063 4.688
0.0546875 4.42
0.05625 4.328
0.0570313 4.194
0.0578125 3.928
0.0585938 3.902
0.059375 3.684
0.0601562 3.826
0.0609375 3.476
0.0617188 3.39
0.0625 3.274
0.0640625 3.188
0.0648438 2.98
0.065625 2.998
0.0671875 2.91
0.0679688 2.688
0.06875 2.754
0.0695313 2.638
0.0703125 2.558
0.0710938 2.576
0.071875 2.386
0.0734375 2.328
0.0742188 2.176
0.075 2.092
0.0765625 2.094
0.0773438 2.084
0.078125 1.904
0.08125 1.828
0.0828125 1.74
0.0835938 1.694
0.084375 1.62
0.0875 1.552
0.090625 1.516
0.0921875 1.446
0.09375 1.388
0.1 1.314
0.10625 1.268
0.109375 1.196
0.1125 1.152
0.125 1.076
0.15 1.006
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
