# N=60 REP=1000 dy=0.025
# p-connected p
0 0
0.025 0
0.0375 0.002
0.04375 0.013
0.046875 0.026
0.05 0.04
0.0507812 0.049
0.0515625 0.067
0.0523438 0.082
0.053125 0.094
0.0546875 0.087
0.0548828 0.106
0.0550781 0.113
0.0554687 0.133
0.05625 0.131
0.0578125 0.154
0.0585938 0.171
0.059375 0.186
0.0601562 0.21
0.0609375 0.217
0.0611328 0.236
0.0613281 0.245
0.0617188 0.249
0.0621094 0.253
0.0623047 0.247
0.0624023 0.269
0.0625 0.288
0.0640625 0.294
0.0644531 0.296
0.0645508 0.321
0.0646484 0.332
0.0648438 0.324
0.0652344 0.325
0.065625 0.35
0.0664062 0.366
0.0671875 0.385
0.0679688 0.404
0.06875 0.413
0.0695313 0.426
0.0703125 0.447
0.0705078 0.439
0.0706055 0.436
0.0707031 0.48
0.0710938 0.49
0.071875 0.484
0.0726563 0.494
0.0730469 0.514
0.0734375 0.52
0.0742188 0.526
0.075 0.547
0.0757813 0.561
0.0761719 0.556
0.0763672 0.576
0.0765625 0.599
0.078125 0.622
0.0789063 0.598
0.0790039 0.626
0.0791016 0.637
0.0792969 0.643
0.0796875 0.665
0.08125 0.66
0.0820313 0.67
0.0828125 0.694
0.0835938 0.712
0.084375 0.724
0.0859375 0.721
0.0863281 0.739
0.0867188 0.759
0.0875 0.75
0.0878906 0.75
0.0880859 0.732
0.0881836 0.772
0.0882813 0.776
0.0890625 0.789
0.090625 0.814
0.09375 0.811
0.0938477 0.809
0.0939453 0.839
0.0941406 0.847
0.0945312 0.839
0.0953125 0.847
0.096875 0.866
0.0984375 0.863
0.0992188 0.876
0.1 0.898
0.10625 0.921
0.109375 0.937
0.1125 0.956
0.125 0.976
0.15 0.995
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
